article_id	level	children	key	title	local_path	status
5ba79816-77a8-44fa-86e8-f5d55ed93760	1	6		လက္ခဏာဒိစတုက္ကပိုင်း		parse_fail
b70f1261-c05a-42a5-bb34-2c0599016a86	2	0	[A]	နိဒါနကထာ[A]		unmatched
9dd9a3b1-70b9-4f5f-9766-004f718328fc	2	0	[001a]	လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ[001a]	vol_4/chinese/[00A]特相 - 作用 - 现起 - 足处 应如何观察/[001a]特相 - 作用 - 现起 - 足处 应如何观察.md	matched
69d2c1d0-5476-45cb-afc9-e7c864378e32	2	0	[001b]	ဓမ္မာနုပဿနာ သတိပဋ္ဌာန်ကျင့်စဉ်[001b]	vol_4/chinese/[00A]特相 - 作用 - 现起 - 足处 应如何观察/[001b]法随观念处修行次第.md	matched
0f35d487-6fe0-4436-8378-b06c1cd8faa5	2	0	[004]	မနှိုင်းယှဉ်သင့်ပါ[004]	vol_4/chinese/[00A]特相 - 作用 - 现起 - 足处 应如何观察/[004]不应相比较.md	matched
3386f4c3-5145-4b84-8e9c-acfde74ce630	2	0	[008]	လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန် အဓိပ္ပါယ်[008]	vol_4/chinese/[00A]特相 - 作用 - 现起 - 足处 应如何观察/[008]特相 - 作用 - 现起 - 足处 的含义.md	matched
b412ad23-6a3a-4323-ad4d-70284fc6845d	2	0	[010a]	ကြိုတင်သိမှတ်ရန်[010a]	vol_4/chinese/[00A]特相 - 作用 - 现起 - 足处 应如何观察/[010a]预先应知的事项.md	matched
0f3c0adf-1c85-4ace-9517-8cb8d54422d4	1	28	[010]	ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း[010]		unmatched
e8dc1648-5834-40b8-8464-56661607b873	2	1	[010]	၁။ ပထဝီဓာတ်[010]		unmatched
f86a9135-40eb-4ff5-9d6e-782457458a03	3	0	[011]	ရှုပုံနည်းစနစ်[011]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[011]观照方法.md	matched
d81a61d7-e87d-4d18-af35-931151555926	2	0	[013]	၂။ အာပေါဓာတ်[013]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[013]2. 水界.md	matched
8749ba79-649a-4413-91d0-7f5fb8cbdae5	2	0	[016]	၃။ တေဇောဓာတ်[016]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[016]3. 火界.md	matched
af3b7b67-0971-413a-b0b2-c68da48267e5	2	0	[020]	၄။ ဝါယောဓာတ်[020]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[020]4. 风界.md	matched
22fc6d3a-d45b-4180-88f2-00772587cfb7	2	3	[024]	၅။ စက္ခုပသာဒ[024]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[024].md	matched
3315c7fc-6e96-498f-9b1b-fa6393cc1625	3	0	[025]	အဘိဃာတ = ရှေးရှူရိုက်ခတ်ခြင်း = ထိခတ်ခြင်း[025]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[025].md	matched
91683854-931c-407e-9112-8d58717ea52c	3	0	[029]	စက္ခုဝိညာဏ်သည် မည်သည့်စက္ခုအကြည်ဓာတ်ကို မှီ၍[029]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[029]眼识依止哪一种眼净界.md	matched
58dd317c-02ed-45b0-948b-8fd6617ffc9c	3	0	[031]	-လက်တွေ့စမ်းသပ်ကြည့်သင့်သည်[031]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[031]应当亲身实地试验查看.md	matched
68204308-c932-4741-9565-dc0efb5e905e	2	0	[033]	၆။ သောတပသာဒ[033]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[033] 6. 耳净色.md	matched
35b4d7f2-c2a9-4b99-8de0-3f8e625f38ae	2	0	[034]	၇။ ဃာနပသာဒ[034]	vol_4/chinese/[010]色（28）法 = 色蕴论章/[034] 7. 鼻净色.md	matched
